College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus
College of Fine Arts,School of Music,Undergraduate,Major in Music Education,2020,3,Main
College of Fine Arts,School of Music,Undergraduate,Major in Performance,2020,131,Main
College of Fine Arts,School of Music,Undergraduate,Major in Performance,2020,3,Main
College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,10,Distance
College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,33,Main
College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,13,Main
College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,533,Main
College of Humanities,College of Humanities,Undergraduate,Major in Global Studies,2020,100,Main
College of Humanities,East Asian Studies,Graduate,Doctor of Philosophy in East Asian Studies,2020,43,Main
College of Humanities,East Asian Studies,Graduate,Master of Arts in East Asian Studies,2020,14,Main
College of Humanities,East Asian Studies,Undergraduate,Major in East Asian Studies,2020,138,Main
College of Humanities,East Asian Studies,Undergraduate,Major in East Asian Studies,2020,39,Main
College of Humanities,French and Italian,Graduate,Master of Arts in French,2020,14,Main
College of Humanities,French and Italian,Undergraduate,Major in French,2020,85,Main
College of Humanities,French and Italian,Undergraduate,Major in French,2020,42,Main
College of Humanities,French and Italian,Undergraduate,Major in Italian,2020,37,Main
College of Humanities,French and Italian,Undergraduate,Major in Italian,2020,18,Main
College of Humanities,German Studies,Graduate,Doctor of Philosophy in Transcultural German Studies,2020,8,Main
College of Humanities,German Studies,Graduate,Master of Arts in German Studies,2020,6,Main
College of Humanities,German Studies,Undergraduate,Major in German Studies,2020,59,Main
College of Humanities,German Studies,Undergraduate,Major in German Studies,2020,17,Main
College of Humanities,Public & Applied Humanities,Undergraduate,Major in Applied Humanities,2020,92,Main
College of Humanities,Public & Applied Humanities,Undergraduate,Major in Applied Humanities,2020,5,Main
College of Humanities,Public & Applied Humanities,Undergraduate,Major in World Literature,2020,2,Main
College of Humanities,Public & Applied Humanities,Undergraduate,Major in World Literature,2020,1,Main
College of Humanities,Religious Studies and Classics,Graduate,Master of Arts in Classics,2020,17,Main
College of Humanities,Religious Studies and Classics,Undergraduate,Major in Classics,2020,62,Main
College of Humanities,Religious Studies and Classics,Undergraduate,Major in Classics,2020,38,Main
College of Humanities,"Religious Studies, Cmt",Undergraduate,Major in Religious Studies,2020,37,Main
College of Humanities,"Religious Studies, Cmt",Undergraduate,Major in Religious Studies,2020,15,Main
College of Humanities,Russian and Slavic Studies,Graduate,Master of Arts in Russian,2020,15,Main
College of Humanities,Russian and Slavic Studies,Undergraduate,Major in Russian,2020,34,Main
College of Humanities,Russian and Slavic Studies,Undergraduate,Major in Russian,2020,26,Main
College of Humanities,Spanish and Portuguese,Graduate,Doctor of Philosophy in Spanish,2020,33,Main
College of Humanities,Spanish and Portuguese,Graduate,Master of Arts in Spanish,2020,24,Main
College of Humanities,Spanish and Portuguese,Undergraduate,Major in Spanish,2020,276,Main
College of Humanities,Spanish and Portuguese,Undergraduate,Major in Spanish,2020,105,Main
College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,6,Online
College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,275,Online
College of Humanities,Public & Applied Humanities,Graduate,Master of Arts in Second Language Learning and Educational Technology,2020,1,Online
College of Medicine - Phoenix,College of Medicine - Phoenix,Medical School,Major in Medicine,2020,336,Phoenix
College of Medicine - Phoenix,COM Phoenix Academic Affairs,Graduate,Master of Medical Studies,2020,10,Phoenix
College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Doctor of Philosophy in Cellular & Molecular Medicine,2020,2,Main
College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Biomedical Sciences,2020,2,Main
