College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus,Demand
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Arts,2020,106,Main,1.1401
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Arts,2020,5,Main,1.1401
College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Production,2020,95,Main,1.1401
College of Fine Arts,School of Art,Graduate,Doctor of Philosophy in Art History & Education,2020,27,Main,1.1401
College of Fine Arts,School of Art,Graduate,Museum Studies,2020,2,Main,6.534738
College of Fine Arts,School of Art,Graduate,Master of Arts in Art Education,2020,1,Main,90.328854
College of Fine Arts,School of Art,Graduate,Master of Arts in Art and Visual Culture Education,2020,7,Main,90.328854
College of Fine Arts,School of Art,Graduate,Master of Fine Arts in Art,2020,36,Main,90.328854
College of Fine Arts,School of Art,Undergraduate,Major in Art Education,2020,2,Main,90.328854
College of Fine Arts,School of Art,Undergraduate,Major in Art and Visual Culture Education,2020,33,Main,90.328854
College of Fine Arts,School of Art,Undergraduate,Major in Art and Visual Culture Education,2020,2,Main,90.328854
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,161,Main,1.6248
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,10,Main,1.6248
